mean,scale,id,sd,moransI,fractal
1.5,50,480,0.000546055333937444,0.318917171741399,2.50132652826453
-2,0.5,481,0.00363147965371807,-0.000203266006701857,2.98205425035085
-1.5,0.5,482,0.00187205703971547,0.00202979768670358,2.98638401484241
-1,0.5,483,0.00123315321014098,0.00409898241146859,2.92983911261794
-0.5,0.5,484,0.000833752336198233,0.00457310011789237,2.91567081009004
0,0.5,485,0.000572804976047419,0.00403335067737972,2.91249669054806
0.5,0.5,486,0.000408666920079803,0.00521762340013771,2.89218523810788
1,0.5,487,0.000317263403340282,0.00320114474888079,2.8932005072449
1.5,0.5,488,0.000248321626242125,0.00470891239416644,2.93576685953456
-2,1,489,0.00318328279139944,0.00354712247708583,2.87797729435414
-1.5,1,490,0.00197910244544428,0.00927011545125319,2.82423920890317
-1,1,491,0.0012023679580368,0.00626446861371212,2.89659973468555
-0.5,1,492,0.000819320896709508,0.00890779240799025,2.82422221570058
0,1,493,0.000579173418607973,0.0174881860168721,2.79710371680898
0.5,1,494,0.000413095117681491,0.0117516010792024,2.79124725000529
1,1,495,0.000335750000546217,0.0163128289729836,2.75090309276208
1.5,1,496,0.000237261293337102,0.0156903953654678,2.7739508623957
-2,2,497,0.00416265971938075,0.0048697115097357,2.91569088595512
-1.5,2,498,0.00191334382096557,0.0281906913255309,2.78837600458449
-1,2,499,0.00135075810714585,0.0273614976223268,2.77608364542315
-0.5,2,500,0.000769689620628594,0.0467633600604452,2.67721872328363
0,2,501,0.000537802358179276,0.0350240493917886,2.64533773860355
0.5,2,502,0.000427270270639938,0.0559551304280539,2.66615215973391
1,2,503,0.000297148827597183,0.033609919867809,2.64547582897883
1.5,2,504,0.000239270801523627,0.0523797809287967,2.69373713103411
-2,3,505,0.00471808487581315,0.00713606384847137,2.83650476247206
-1.5,3,506,0.00199751319590354,0.0232846521447406,2.60115602575325
-1,3,507,0.00108570652597207,0.0431210148014739,2.6264523406836
-0.5,3,508,0.000919101230640569,0.0424611992490342,2.69550212653148
0,3,509,0.000625917996408901,0.0528653208194007,2.64462964947304
0.5,3,510,0.000467905550412275,0.0515545571728086,2.61269409160388
1,3,511,0.000357587385912087,0.0937491203627845,2.5859994460633
1.5,3,512,0.000270532519066807,0.100699598747694,2.59897853443428
-2,4,513,0.00301783770706911,0.0338378223078225,2.58921239119105
-1.5,4,514,0.0016865220067934,0.0342131074604235,2.73479200738208
-1,4,515,0.001137608991633,0.0471274960642913,2.57521151159405
-0.5,4,516,0.00101130745226235,0.0408103841778086,2.67705014522784
0,4,517,0.000515575230771323,0.0849859755638968,2.55035387370945
0.5,4,518,0.000425133336242487,0.0964042571877782,2.58614697962904
1,4,519,0.000316123888963885,0.101351780519544,2.57080426415729
1.5,4,520,0.000259205867302843,0.0874997470459051,2.55276808212327
-2,5,521,0.00349457905495426,0.0310931191866022,2.43479812758897
-1.5,5,522,0.0041713283295799,0.0365044668677768,2.69203493422491
-1,5,523,0.00180289777994925,0.0425579086755062,2.6397462856052
-0.5,5,524,0.000888567490346995,0.0685441035200951,2.55656801918604
0,5,525,0.000546927431263996,0.113419835015696,2.56296855464908
0.5,5,526,0.000458892880412297,0.114644155015094,2.57097537194297
1,5,527,0.000331233855174332,0.0838313171326161,2.57096901513093
1.5,5,528,0.000215735014115789,0.0728977929065684,2.57244448091811
